GlobalAverageWaitingTime,GlobalAverageDockTime,GlobalAverageUnloadingTime,GlobalAverageLoadingTime,GlobalAverageUndockTime,DockingBay0_AverageWaitingTime,DockingBay0_AverageDockTime,DockingBay0_AverageUnloadingTime,DockingBay0_AverageLoadingTime,DockingBay0_AverageUndockTime
795.431028949758,21526.236413873627,21828.26608200809,22064.138083950325,21756.84838196915,795.431028949758,21526.236413873627,21828.26608200809,22064.138083950325,21756.84838196915
435.83732404453866,23109.31380459228,23363.972783519846,23027.589833295544,23047.81041856011,435.83732404453866,23109.31380459228,23363.972783519846,23027.589833295544,23047.81041856011
83.40962056651365,22014.02759099122,22266.650178621716,20750.399320087265,20766.292359389598,83.40962056651365,22014.02759099122,22266.650178621716,20750.399320087265,20766.292359389598
381.78614102606423,21439.58337047137,21695.440770159956,21657.25427320442,21678.818637485077,381.78614102606423,21439.58337047137,21695.440770159956,21657.25427320442,21678.818637485077
470.13080405190124,21290.25638044319,21571.657089065993,21825.84861991707,21509.6313246393,470.13080405190124,21290.25638044319,21571.657089065993,21825.84861991707,21509.6313246393
407.42134923721477,20397.896329141757,20677.88342835887,20386.3540263988,20404.221020329496,407.42134923721477,20397.896329141757,20677.88342835887,20386.3540263988,20404.221020329496
328.5787311481408,24188.01642092127,24476.75236752015,24382.450263094503,24401.382714120362,328.5787311481408,24188.01642092127,24476.75236752015,24382.450263094503,24401.382714120362
41.75366143538825,20123.03054057989,20422.03937056896,20634.892935819535,19937.820778352936,41.75366143538825,20123.03054057989,20422.03937056896,20634.892935819535,19937.820778352936
686.2994649031492,23804.868652988804,24096.31772243963,24168.646747218707,24185.798926787345,686.2994649031492,23804.868652988804,24096.31772243963,24168.646747218707,24185.798926787345
406.3604492698232,22138.211039896418,22419.68427113828,22096.54409355817,22113.600399942083,406.3604492698232,22138.211039896418,22419.68427113828,22096.54409355817,22113.600399942083
348.77704089990664,22640.85928609737,22487.8255590716,22757.083339537723,22772.00355857664,348.77704089990664,22640.85928609737,22487.8255590716,22757.083339537723,22772.00355857664
283.4557081202688,20565.07074109819,20857.60760708944,20473.64287109434,20490.84350314962,283.4557081202688,20565.07074109819,20857.60760708944,20473.64287109434,20490.84350314962
40.77493851987462,22253.407748655405,22519.64602817013,20997.774439540986,21016.203502306933,40.77493851987462,22253.407748655405,22519.64602817013,20997.774439540986,21016.203502306933
268.886119524717,18546.265495203224,18227.798820105443,18494.258079878768,18515.23892274746,268.886119524717,18546.265495203224,18227.798820105443,18494.258079878768,18515.23892274746
351.51517690782595,22808.467448642452,23080.24310804951,23343.01001777338,22804.799556792346,351.51517690782595,22808.467448642452,23080.24310804951,23343.01001777338,22804.799556792346
153.82459025506193,22972.682385845357,23228.447653695086,23469.017916965357,23280.454236294976,153.82459025506193,22972.682385845357,23228.447653695086,23469.017916965357,23280.454236294976
163.6125841566811,22664.637838244747,22951.052207038898,23202.51115404208,22755.42537917984,163.6125841566811,22664.637838244747,22951.052207038898,23202.51115404208,22755.42537917984
323.4730720276489,21098.029277994374,21355.94082619453,21621.536990138764,21387.87921084715,323.4730720276489,21098.029277994374,21355.94082619453,21621.536990138764,21387.87921084715
206.95501049966705,21175.448849373894,21457.405760774473,21745.38128972844,21425.824999577333,206.95501049966705,21175.448849373894,21457.405760774473,21745.38128972844,21425.824999577333
404.5671491619405,23688.911150817294,23972.554967942222,23809.136537625556,23829.73984466032,404.5671491619405,23688.911150817294,23972.554967942222,23809.136537625556,23829.73984466032
285.9310042343236,21610.28731024697,21900.93605931768,21854.041580038014,21874.98463430605,285.9310042343236,21610.28731024697,21900.93605931768,21854.041580038014,21874.98463430605
205.0869182647607,20595.424365154922,20877.350221519882,20345.41103367456,20366.607371439266,205.0869182647607,20595.424365154922,20877.350221519882,20345.41103367456,20366.607371439266
205.49920304017368,21649.37311481876,21909.363033422746,21642.10500531271,21662.70254472506,205.49920304017368,21649.37311481876,21909.363033422746,21642.10500531271,21662.70254472506
226.08588501007986,20715.008651266802,20990.35392323181,21260.847024342253,20766.37543923069,226.08588501007986,20715.008651266802,20990.35392323181,21260.847024342253,20766.37543923069
315.4316155047205,18948.711188336674,19236.16350788924,19491.830041873072,19144.603755981432,315.4316155047205,18948.711188336674,19236.16350788924,19491.830041873072,19144.603755981432
290.1237416346944,20897.154368811665,21175.2929234405,21447.820011383446,20956.67999164578,290.1237416346944,20897.154368811665,21175.2929234405,21447.820011383446,20956.67999164578
135.33416043357627,19898.10072532402,20149.946881690732,19828.926328157482,19849.36125930968,135.33416043357627,19898.10072532402,20149.946881690732,19828.926328157482,19849.36125930968
366.9572667058313,22781.095298038683,23077.04457632595,22709.53485818987,22726.793481387092,366.9572667058313,22781.095298038683,23077.04457632595,22709.53485818987,22726.793481387092
405.3953856820816,22413.92479729313,22720.17693051392,22999.765062709313,22564.050006174588,405.3953856820816,22413.92479729313,22720.17693051392,22999.765062709313,22564.050006174588
231.8736666396766,20691.529610545196,20676.983165992617,20912.507201322223,20931.482814683848,231.8736666396766,20691.529610545196,20676.983165992617,20912.507201322223,20931.482814683848
268.7534563050872,20661.0040628384,20937.058642176875,20826.12707524419,20848.718390802882,268.7534563050872,20661.0040628384,20937.058642176875,20826.12707524419,20848.718390802882
547.9946742333798,22450.717912576656,22721.758161319423,22965.36668061947,22684.61008960211,547.9946742333798,22450.717912576656,22721.758161319423,22965.36668061947,22684.61008960211
139.0269689479208,20800.274554501386,21083.72530346477,20748.655244580277,20768.059358850503,139.0269689479208,20800.274554501386,21083.72530346477,20748.655244580277,20768.059358850503
