GlobalAverageWaitingTime,GlobalAverageDockTime,GlobalAverageUnloadingTime,GlobalAverageLoadingTime,GlobalAverageUndockTime,GlobalAverageDelayTime,DockingBay0_AverageWaitingTime,DockingBay0_AverageDockTime,DockingBay0_AverageUnloadingTime,DockingBay0_AverageLoadingTime,DockingBay0_AverageUndockTime,DockingBay0_AverageDelayTime
878.4380298741614,20014.043069727497,20482.08237172483,20817.784069685968,20444.4812418059,0.0,878.4380298741614,20014.043069727497,20482.08237172483,20817.784069685968,20444.4812418059,0.0
514.8585261934114,22687.16257198593,23046.253785458237,23065.516504319883,23086.898986018878,0.0,514.8585261934114,22687.16257198593,23046.253785458237,23065.516504319883,23086.898986018878,0.0
482.30680228137356,18934.752815995194,19342.51655258404,19247.03773772247,19261.839774924287,0.0,482.30680228137356,18934.752815995194,19342.51655258404,19247.03773772247,19261.839774924287,0.0
587.8015271134904,20319.073160623637,20720.880134770305,21129.420838634076,20762.853018564896,0.0,587.8015271134904,20319.073160623637,20720.880134770305,21129.420838634076,20762.853018564896,0.0
455.6648761738665,20994.41669204595,21436.61404640832,21818.253058708437,21338.742880153866,0.0,455.6648761738665,20994.41669204595,21436.61404640832,21818.253058708437,21338.742880153866,0.0
502.350274346832,19251.128615482314,19673.88309091193,19561.72015346167,19580.61679331488,0.0,502.350274346832,19251.128615482314,19673.88309091193,19561.72015346167,19580.61679331488,0.0
849.2566192805983,24243.910329945298,24679.248001162316,24547.529823710447,24566.13759724253,0.0,849.2566192805983,24243.910329945298,24679.248001162316,24547.529823710447,24566.13759724253,0.0
78.74703948440786,20142.760342206035,20532.11445414061,20861.539448167285,20164.46729070069,0.0,78.74703948440786,20142.760342206035,20532.11445414061,20861.539448167285,20164.46729070069,0.0
1024.13611136647,22364.264135985475,22762.68518215801,23122.580976588855,22552.33169129874,0.0,1024.13611136647,22364.264135985475,22762.68518215801,23122.580976588855,22552.33169129874,0.0
380.8586746891033,21102.004793066888,21526.566851837502,21109.67033916248,21125.761337882097,0.0,380.8586746891033,21102.004793066888,21526.566851837502,21109.67033916248,21125.761337882097,0.0
421.09705925634626,21536.260778189517,21941.776817655526,22286.986954068678,21809.126288726897,0.0,421.09705925634626,21536.260778189517,21941.776817655526,22286.986954068678,21809.126288726897,0.0
389.84895598678145,19516.646865285646,19902.30281105576,20279.86461170496,19445.85835140424,0.0,389.84895598678145,19516.646865285646,19902.30281105576,20279.86461170496,19445.85835140424,0.0
493.7996057198846,20441.84345339224,20833.748846712337,21151.060224602825,20994.077201145497,0.0,493.7996057198846,20441.84345339224,20833.748846712337,21151.060224602825,20994.077201145497,0.0
258.2546786628246,18018.92922937049,18446.299247859268,18811.79318586463,18253.97447826709,0.0,258.2546786628246,18018.92922937049,18446.299247859268,18811.79318586463,18253.97447826709,0.0
265.85647469064145,21457.305092040715,21901.058047071023,22276.135763253824,21429.607249187247,0.0,265.85647469064145,21457.305092040715,21901.058047071023,22276.135763253824,21429.607249187247,0.0
206.2188950771871,23023.07606092023,23420.76874433371,23767.95021466982,23580.002965431137,0.0,206.2188950771871,23023.07606092023,23420.76874433371,23767.95021466982,23580.002965431137,0.0
198.70122523785358,22690.686682623535,23104.09571130126,22949.86088602744,22965.957225666876,0.0,198.70122523785358,22690.686682623535,23104.09571130126,22949.86088602744,22965.957225666876,0.0
323.4730720276489,21098.029277994374,21526.811611805748,21893.876000923865,21660.21822163225,0.0,323.4730720276489,21098.029277994374,21526.811611805748,21893.876000923865,21660.21822163225,0.0
172.32224203162957,20073.089201958475,20497.418186334293,20880.231355345848,20331.231238135955,0.0,172.32224203162957,20073.089201958475,20497.418186334293,20880.231355345848,20331.231238135955,0.0
646.104368051059,22682.892855838785,23039.74594125577,22976.702751092376,22996.882617569474,0.0,646.104368051059,22682.892855838785,23039.74594125577,22976.702751092376,22996.882617569474,0.0
451.07659764769136,21773.407212526134,22214.908489317557,22272.406939997523,22293.611966377935,0.0,451.07659764769136,21773.407212526134,22214.908489317557,22272.406939997523,22293.611966377935,0.0
227.46183143395507,19750.7789832661,20174.00451634296,20183.157719833096,20205.726769069825,0.0,227.46183143395507,19750.7789832661,20174.00451634296,20183.157719833096,20205.726769069825,0.0
192.12286920798974,21251.500895306042,21640.38178346349,21205.507029199478,21225.743867522655,0.0,192.12286920798974,21251.500895306042,21640.38178346349,21205.507029199478,21225.743867522655,0.0
286.5825097080688,19734.505605479124,20162.43479678655,20008.139283882512,20025.229389641754,0.0,286.5825097080688,19734.505605479124,20162.43479678655,20008.139283882512,20025.229389641754,0.0
357.0907054007208,18997.313459882007,19430.767932818566,19785.875032070213,19439.20928165234,0.0,357.0907054007208,18997.313459882007,19430.767932818566,19785.875032070213,19439.20928165234,0.0
378.0626029639401,20483.278696927926,20890.927889553375,21270.249016783775,20326.73700481749,0.0,378.0626029639401,20483.278696927926,20890.927889553375,21270.249016783775,20326.73700481749,0.0
430.56035738826677,20178.694110912267,20538.373621614406,20328.401001760587,20349.02216310294,0.0,430.56035738826677,20178.694110912267,20538.373621614406,20328.401001760587,20349.02216310294,0.0
408.09239775846333,21730.576697061144,22167.329184836548,22481.612545652577,22110.482536999432,0.0,408.09239775846333,21730.576697061144,22167.329184836548,22481.612545652577,22110.482536999432,0.0
589.416705348354,21934.90525286943,22432.19419654552,22804.689270024795,22119.999181031522,0.0,589.416705348354,21934.90525286943,22432.19419654552,22804.689270024795,22119.999181031522,0.0
