GlobalAverageWaitingTime,GlobalAverageDockTime,GlobalAverageUnloadingTime,GlobalAverageLoadingTime,GlobalAverageUndockTime,DockingBay0_AverageWaitingTime,DockingBay0_AverageDockTime,DockingBay0_AverageUnloadingTime,DockingBay0_AverageLoadingTime,DockingBay0_AverageUndockTime
324.2987651042898,22509.72053561306,22836.91664643966,22780.07143842176,22797.16146085875,324.2987651042898,22509.72053561306,22836.91664643966,22780.07143842176,22797.16146085875
296.556363244836,22917.42157413502,23186.074584558224,23459.28072618072,22875.994734995078,296.556363244836,22917.42157413502,23186.074584558224,23459.28072618072,22875.994734995078
482.30680228137356,18934.752815995194,19256.409392842794,19081.111250565926,19095.913287767744,482.30680228137356,18934.752815995194,19256.409392842794,19081.111250565926,19095.913287767744
465.54654099871414,21879.54264245389,22191.310782369237,22055.74800660274,22073.52171055309,465.54654099871414,21879.54264245389,22191.310782369237,22055.74800660274,22073.52171055309
399.1646500881227,21383.941535942267,21708.380601257344,21971.098755152994,21723.374902202362,399.1646500881227,21383.941535942267,21708.380601257344,21971.098755152994,21723.374902202362
293.941543506147,19144.023302542235,19490.062478933178,19772.32767128261,19301.422868834827,293.941543506147,19144.023302542235,19490.062478933178,19772.32767128261,19301.422868834827
550.1731198779214,24213.761117599937,24536.131341186876,24448.561582041748,24469.725316056367,550.1731198779214,24213.761117599937,24536.131341186876,24448.561582041748,24469.725316056367
76.59423600964551,21207.298176132303,21505.588574146303,20645.35281189961,20668.273095160926,76.59423600964551,21207.298176132303,21505.588574146303,20645.35281189961,20668.273095160926
576.1806497431496,22156.466934802607,22472.880027907377,22748.980713702156,22322.849924447335,576.1806497431496,22156.466934802607,22472.880027907377,22748.980713702156,22322.849924447335
139.4482856826727,21342.709871562503,21120.609204967608,21383.142690387842,21400.213679178785,139.4482856826727,21342.709871562503,21120.609204967608,21383.142690387842,21400.213679178785
193.20319474223683,22373.566848639515,22725.35066761931,22991.428212524024,22355.97399185861,193.20319474223683,22373.566848639515,22725.35066761931,22991.428212524024,22355.97399185861
318.8015438657874,20058.31606387564,20347.15376860562,19954.38152697384,19974.29456851575,318.8015438657874,20058.31606387564,20347.15376860562,19954.38152697384,19974.29456851575
493.7996057198846,20441.84345339224,20731.780713819,20967.44840661206,20810.465383154733,493.7996057198846,20441.84345339224,20731.780713819,20967.44840661206,20810.465383154733
229.4083843700094,18847.08179902517,19155.979469953734,18979.777787668736,19002.271164461166,229.4083843700094,18847.08179902517,19155.979469953734,18979.777787668736,19002.271164461166
229.3598557448019,22684.51423433689,23032.88880778993,22758.598790638094,22775.73483611173,229.3598557448019,22684.51423433689,23032.88880778993,22758.598790638094,22775.73483611173
168.36273196512346,23284.835318896643,23578.625065552886,23833.41806351779,23852.885236483595,168.36273196512346,23284.835318896643,23578.625065552886,23833.41806351779,23852.885236483595
121.49272741167336,21774.178636474073,22140.2790640585,22186.39874547438,22211.480262680576,121.49272741167336,21774.178636474073,22140.2790640585,22186.39874547438,22211.480262680576
189.89204138983567,22104.833279713243,22452.565854606306,22738.679461931115,21570.084828171868,189.89204138983567,22104.833279713243,22452.565854606306,22738.679461931115,21570.084828171868
190.07951441128807,20861.42326214732,21184.144219595426,21019.357770093815,21034.695151363558,190.07951441128807,20861.42326214732,21184.144219595426,21019.357770093815,21034.695151363558
349.97764863965824,22553.240037791376,22829.378510183335,22793.45265996031,22811.183109499707,349.97764863965824,22553.240037791376,22829.378510183335,22793.45265996031,22811.183109499707
204.85408626591396,22099.355787179375,22437.968985717136,22075.45584691116,22096.333982644068,204.85408626591396,22099.355787179375,22437.968985717136,22075.45584691116,22096.333982644068
170.4833199105447,19689.31160914127,20019.474285251494,20282.11713205277,19988.55710502042,170.4833199105447,19689.31160914127,20019.474285251494,20282.11713205277,19988.55710502042
229.7684327652976,21674.169867396966,21924.492776607192,22182.319088766842,21729.16868901573,229.7684327652976,21674.169867396966,21924.492776607192,22182.319088766842,21729.16868901573
266.5266874693818,20734.369341222908,21024.912394474806,20744.346188377905,20760.539443190864,266.5266874693818,20734.369341222908,21024.912394474806,20744.346188377905,20760.539443190864
305.38323182385835,20064.188158790344,20409.634634175974,20139.2764313999,20155.564184243656,305.38323182385835,20064.188158790344,20409.634634175974,20139.2764313999,20155.564184243656
244.55001146546186,21169.85530036967,21482.139046668453,21340.122373139504,21359.749298061262,244.55001146546186,21169.85530036967,21482.139046668453,21340.122373139504,21359.749298061262
236.3244817886563,20719.44902499664,20975.566282250784,20879.43954430245,20900.395407692595,236.3244817886563,20719.44902499664,20975.566282250784,20879.43954430245,20900.395407692595
232.65427367672035,22654.196175410765,22982.2896207993,23220.74065299796,22651.47416991951,232.65427367672035,22654.196175410765,22982.2896207993,23220.74065299796,22651.47416991951
500.5216194195112,23000.935266121993,23364.998120168395,23291.754723752765,23312.485685939304,500.5216194195112,23000.935266121993,23364.998120168395,23291.754723752765,23312.485685939304
388.2267997576938,18587.585611990635,18040.69987959454,18285.27293078339,18304.10472109652,388.2267997576938,18587.585611990635,18040.69987959454,18285.27293078339,18304.10472109652
528.82901730048,22278.06387820675,22586.11548864985,22534.807796421377,22555.380054026475,528.82901730048,22278.06387820675,22586.11548864985,22534.807796421377,22555.380054026475
243.68299751830648,23102.834716101013,23383.93197478188,23179.38252078365,23198.834350583555,243.68299751830648,23102.834716101013,23383.93197478188,23179.38252078365,23198.834350583555
139.11474011243584,20596.43453570569,20870.12930588506,21124.530999820752,20379.655506865256,139.11474011243584,20596.43453570569,20870.12930588506,21124.530999820752,20379.655506865256
