GlobalAverageWaitingTime,GlobalAverageDockTime,GlobalAverageUnloadingTime,GlobalAverageLoadingTime,GlobalAverageUndockTime,DockingBay0_AverageWaitingTime,DockingBay0_AverageDockTime,DockingBay0_AverageUnloadingTime,DockingBay0_AverageLoadingTime,DockingBay0_AverageUndockTime
609.2551842314172,16420.32088262253,16674.10868172325,16970.67656819741,16631.936846922254,609.2551842314172,16420.32088262253,16674.10868172325,16970.67656819741,16631.936846922254
1294.0434353601947,18869.744983947778,19116.781016616595,19076.415313062753,19088.666058894178,1294.0434353601947,18869.744983947778,19116.781016616595,19076.415313062753,19088.666058894178
758.2676936688202,19764.61533192001,19993.4553642135,20252.099585586206,19916.26118922325,758.2676936688202,19764.61533192001,19993.4553642135,20252.099585586206,19916.26118922325
2313.613153580536,16584.440202239155,16910.0980068452,16877.676550130273,16890.608011943797,2313.613153580536,16584.440202239155,16910.0980068452,16877.676550130273,16890.608011943797
973.5461188436951,20432.90845302824,20699.039883604444,20963.600082013585,20595.52301317522,973.5461188436951,20432.90845302824,20699.039883604444,20963.600082013585,20595.52301317522
979.4111586539078,16907.20146448653,17179.6129412792,17469.306700261204,17092.32099792152,979.4111586539078,16907.20146448653,17179.6129412792,17469.306700261204,17092.32099792152
843.2514999908561,18859.214312098713,19111.58215836539,19366.79270259461,19063.688459719615,843.2514999908561,18859.214312098713,19111.58215836539,19366.79270259461,19063.688459719615
537.5714416382231,17860.89105139502,18144.455211223994,17350.713816999305,17366.726540561198,537.5714416382231,17860.89105139502,18144.455211223994,17350.713816999305,17366.726540561198
1240.7882209122135,17167.282712541677,17414.269208983478,17384.39038735158,17397.575736847477,1240.7882209122135,17167.282712541677,17414.269208983478,17384.39038735158,17397.575736847477
328.68993359014036,18551.398816684825,18824.518697450545,18729.868840704206,18741.558013099584,328.68993359014036,18551.398816684825,18824.518697450545,18729.868840704206,18741.558013099584
509.37498617381976,17433.752691100042,17698.34500151074,17949.509606960466,17717.17271626132,509.37498617381976,17433.752691100042,17698.34500151074,17949.509606960466,17717.17271626132
