GlobalAverageWaitingTime,GlobalAverageDockTime,GlobalAverageUnloadingTime,GlobalAverageLoadingTime,GlobalAverageUndockTime,DockingBay0_AverageWaitingTime,DockingBay0_AverageDockTime,DockingBay0_AverageUnloadingTime,DockingBay0_AverageLoadingTime,DockingBay0_AverageUndockTime
571.8314953283468,17638.829562497296,17818.845492301454,18046.901250639054,17764.183972617477,571.8314953283468,17638.829562497296,17818.845492301454,18046.901250639054,17764.183972617477
622.8523494722525,20218.48416087549,20428.96636227366,20355.40357613543,20366.810797299167,622.8523494722525,20218.48416087549,20428.96636227366,20355.40357613543,20366.810797299167
599.4341923971446,20209.357979071487,20388.742246626844,20594.545097355247,20319.6431750129,599.4341923971446,20209.357979071487,20388.742246626844,20594.545097355247,20319.6431750129
1073.0403919320752,18814.195612778687,19043.744897781522,18923.295467732158,18936.49198324203,1073.0403919320752,18814.195612778687,19043.744897781522,18923.295467732158,18936.49198324203
1488.878756124327,21175.691855268284,21375.571006004877,21317.77718617751,21329.05315877349,1488.878756124327,21175.691855268284,21375.571006004877,21317.77718617751,21329.05315877349
576.9101035496951,17315.61949869604,17538.19815938183,17447.14925099677,17458.506925690104,576.9101035496951,17315.61949869604,17538.19815938183,17447.14925099677,17458.506925690104
546.6608313258937,19007.632193908856,19219.514052973773,19411.649637207633,19424.30223908825,546.6608313258937,19007.632193908856,19219.514052973773,19411.649637207633,19424.30223908825
402.59411783948906,16784.57297593463,17012.596034339505,17239.670330415276,17253.078664251396,402.59411783948906,16784.57297593463,17012.596034339505,17239.670330415276,17253.078664251396
933.5630056368854,17460.08478677573,17642.57655688058,17844.803314546345,17635.74155532887,933.5630056368854,17460.08478677573,17642.57655688058,17844.803314546345,17635.74155532887
242.54977996719697,18464.01252521112,18666.056312443336,18502.315153320284,18514.054307439204,242.54977996719697,18464.01252521112,18666.056312443336,18502.315153320284,18514.054307439204
409.7699547506566,18592.58155836209,18780.826848360466,18763.697208533114,18774.204050220735,409.7699547506566,18592.58155836209,18780.826848360466,18763.697208533114,18774.204050220735
602.3199145534828,19781.700605700793,19990.172154197837,20193.350849770435,19865.978594680546,602.3199145534828,19781.700605700793,19990.172154197837,20193.350849770435,19865.978594680546
